meeting_id,primary_theme_id,primary_theme_title,primary_theme_audience,all_theme_ids,all_theme_titles,call_type,call_confidence,sentiment_score,overall_sentiment
01KQ03B0303900521BB089CA,8,Incident Response and Review,All,6; 8; 9; 19; 25,Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Security and Alerting; Platform Reliability,support,high,2.4,mixed-negative
01KQ0C1280EDA4E70AAD7C35,13,Billing and Pricing Issues,Sales | Customer Support,13; 15; 18; 20,Billing and Pricing Issues; Identity and Access Governance; Product and Service Expansion; Customer Onboarding and Support,support,high,3.8,mixed-positive
01KQ0CAE7F064EC93F0540CA,21,IT Operations and Deployment,Engineering,3; 6; 11; 21; 25,Cloud and Integration Configuration; Customer Renewal and Retention; Compliance and Governance; IT Operations and Deployment; Platform Reliability,internal,high,3.6,mixed-positive
01KQ0DFE299AC7A74E8022CA,11,Compliance and Governance,All,4; 11; 12; 15; 20,Healthcare Data Security; Compliance and Governance; Audit Compliance Readiness; Identity and Access Governance; Customer Onboarding and Support,external,high,4.8,very-positive
01KQ0F8AFF3DA34FD4580008,6,Customer Renewal and Retention,Sales | Customer Success,2; 6; 9; 11; 13; 18,Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues; Product and Service Expansion,external,high,3.4,mixed-positive
01KQ1267C6AA7D9B3125FEC8,15,Identity and Access Governance,All,8; 12; 15; 19,Incident Response and Review; Audit Compliance Readiness; Identity and Access Governance; Security and Alerting,internal,high,3.4,mixed-positive
01KQ1A6B7E81B06F4A13B60D,14,Data Protection and Recovery,All,6; 7; 14; 18; 22; 24,Customer Renewal and Retention; Escalation Process; Data Protection and Recovery; Product and Service Expansion; Product Maturity Gaps; System Reliability and Support,support,high,2.8,mixed-negative
01KQ1DC6CA536DE1B31ED8F5,13,Billing and Pricing Issues,Sales | Customer Support,6; 11; 13; 18,Customer Renewal and Retention; Compliance and Governance; Billing and Pricing Issues; Product and Service Expansion,external,high,3.7,mixed-positive
01KQ1DCC80852AE384C898C9,9,Outage Prevention and Recovery,Engineering,0; 2; 6; 9; 11; 13,Service Level Agreement Management; Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues,support,medium,2.4,mixed-negative
01KQ1DE954A807A5D2653175,18,Product and Service Expansion,All,8; 10; 11; 13; 15; 18,Incident Response and Review; HIPAA Compliance and Reporting; Compliance and Governance; Billing and Pricing Issues; Identity and Access Governance; Product and Service Expansion,internal,high,3.6,mixed-positive
01KQ2217B066855A3B7814CB,9,Outage Prevention and Recovery,Engineering,1; 6; 8; 9; 11; 25,Quality Assurance Review Process; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Platform Reliability,support,high,2.4,mixed-negative
01KQ2331EFD78BF3B1CAB747,9,Outage Prevention and Recovery,Engineering,0; 6; 7; 8; 9; 24,Service Level Agreement Management; Customer Renewal and Retention; Escalation Process; Incident Response and Review; Outage Prevention and Recovery; System Reliability and Support,internal,high,1.8,negative
01KQ25D8AED944B5D2A9FF60,18,Product and Service Expansion,All,3; 11; 14; 18,Cloud and Integration Configuration; Compliance and Governance; Data Protection and Recovery; Product and Service Expansion,support,high,3.4,mixed-positive
01KQ298F2846EFE59B0D70E2,9,Outage Prevention and Recovery,Engineering,2; 6; 8; 9; 11; 18,Competitive Strategy; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Product and Service Expansion,support,high,2.3,mixed-negative
01KQ2B4878EC7B3EE5547007,12,Audit Compliance Readiness,All,3; 11; 12; 15; 18,Cloud and Integration Configuration; Compliance and Governance; Audit Compliance Readiness; Identity and Access Governance; Product and Service Expansion,external,high,4.7,very-positive
01KQ2D93184912F0147315E7,24,System Reliability and Support,All,0; 6; 7; 9; 24,Service Level Agreement Management; Customer Renewal and Retention; Escalation Process; Outage Prevention and Recovery; System Reliability and Support,support,high,1.6,very-negative
01KQ31ED026F745FE2A55CCD,16,Roadmap Planning and Compliance,All,2; 5; 11; 15; 16; 21,Competitive Strategy; Multi-Factor Authentication Management; Compliance and Governance; Identity and Access Governance; Roadmap Planning and Compliance; IT Operations and Deployment,internal,high,4.4,positive
01KQ325BDEDEE927D2970775,19,Security and Alerting,All,0; 8; 9; 19; 20,Service Level Agreement Management; Incident Response and Review; Outage Prevention and Recovery; Security and Alerting; Customer Onboarding and Support,support,high,2.4,mixed-negative
01KQ351E141926AB7CAB668D,6,Customer Renewal and Retention,Sales | Customer Success,0; 6; 8; 9; 11,Service Level Agreement Management; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance,support,high,2.1,mixed-negative
01KQ38C4101D6774F2F02331,9,Outage Prevention and Recovery,Engineering,7; 8; 9; 14; 24; 25,Escalation Process; Incident Response and Review; Outage Prevention and Recovery; Data Protection and Recovery; System Reliability and Support; Platform Reliability,support,high,1.8,negative
01KQ38FE02AEE5AA5157F042,18,Product and Service Expansion,All,11; 12; 18,Compliance and Governance; Audit Compliance Readiness; Product and Service Expansion,support,high,3.4,mixed-positive
01KQ3BD8DEEBC7FECD107F0F,11,Compliance and Governance,All,3; 10; 11; 12; 18,Cloud and Integration Configuration; HIPAA Compliance and Reporting; Compliance and Governance; Audit Compliance Readiness; Product and Service Expansion,external,high,4.7,very-positive
01KQ3C837D7EF689408DCF95,3,Cloud and Integration Configuration,Engineering,3; 14; 15; 24,Cloud and Integration Configuration; Data Protection and Recovery; Identity and Access Governance; System Reliability and Support,support,high,3.9,mixed-positive
01KQ3CE40428CCC5FF433FFC,6,Customer Renewal and Retention,Sales | Customer Success,6; 8; 16; 18; 25,Customer Renewal and Retention; Incident Response and Review; Roadmap Planning and Compliance; Product and Service Expansion; Platform Reliability,internal,high,2.8,mixed-negative
01KQ3D8C1EF16C042F31FAFD,11,Compliance and Governance,All,6; 9; 11; 13; 17,Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues; Upselling and Cross-Selling Strategy,external,high,4.5,positive
01KQ3F90FF9EBC3DB3632514,21,IT Operations and Deployment,Engineering,11; 15; 19; 21,Compliance and Governance; Identity and Access Governance; Security and Alerting; IT Operations and Deployment,internal,high,3.4,mixed-positive
01KQ410FB7E434BA3F99EE7D,13,Billing and Pricing Issues,Sales | Customer Support,2; 6; 9; 11; 13,Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues,external,high,4.2,mixed-positive
01KQ41FB5CCFD9EA583FB020,19,Security and Alerting,All,4; 11; 14; 19; 20,Healthcare Data Security; Compliance and Governance; Data Protection and Recovery; Security and Alerting; Customer Onboarding and Support,external,high,3.9,mixed-positive
01KQ445B1B5B890316C9E300,8,Incident Response and Review,All,8; 9; 11; 14; 21,Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Data Protection and Recovery; IT Operations and Deployment,internal,high,3.5,mixed-positive
01KQ4529010F423FD9DB40BD,2,Competitive Strategy,Sales,1; 2; 9; 17; 22,Quality Assurance Review Process; Competitive Strategy; Outage Prevention and Recovery; Upselling and Cross-Selling Strategy; Product Maturity Gaps,external,medium,2.4,mixed-negative
01KQ45C0AD36B351A3571940,11,Compliance and Governance,All,3; 11; 12; 18,Cloud and Integration Configuration; Compliance and Governance; Audit Compliance Readiness; Product and Service Expansion,external,high,4.8,very-positive
01KQ45C76AF3AEA6B3EA6697,6,Customer Renewal and Retention,Sales | Customer Success,0; 2; 6; 9; 11; 21,Service Level Agreement Management; Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; IT Operations and Deployment,external,high,2.8,mixed-negative
01KQ45F6F7349D0A620571F1,6,Customer Renewal and Retention,Sales | Customer Success,2; 6; 8; 11; 19,Competitive Strategy; Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Security and Alerting,support,high,2.6,mixed-negative
01KQ46A9DE0AECB006D897A0,6,Customer Renewal and Retention,Sales | Customer Success,0; 6; 8; 9; 23,Service Level Agreement Management; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Infrastructure Architecture Challenges,support,high,1.8,negative
01KQ4D01DCB15C69672AB5AF,11,Compliance and Governance,All,10; 11; 12; 20; 21,HIPAA Compliance and Reporting; Compliance and Governance; Audit Compliance Readiness; Customer Onboarding and Support; IT Operations and Deployment,external,high,4.8,very-positive
01KQ4D504CE09A8F6ECA1F5A,16,Roadmap Planning and Compliance,All,1; 3; 5; 16; 21; 23,Quality Assurance Review Process; Cloud and Integration Configuration; Multi-Factor Authentication Management; Roadmap Planning and Compliance; IT Operations and Deployment; Infrastructure Architecture Challenges,internal,high,3.8,mixed-positive
01KQ4D71CDFB1045A2458216,18,Product and Service Expansion,All,4; 6; 8; 11; 18,Healthcare Data Security; Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Product and Service Expansion,external,high,4.1,mixed-positive
01KQ4EE836687F95080D92AB,21,IT Operations and Deployment,Engineering,18; 21; 23; 24,Product and Service Expansion; IT Operations and Deployment; Infrastructure Architecture Challenges; System Reliability and Support,internal,high,3.6,mixed-positive
01KQ51DC4345D9DAE005678C,10,HIPAA Compliance and Reporting,All,10; 11; 12; 16; 18; 22,HIPAA Compliance and Reporting; Compliance and Governance; Audit Compliance Readiness; Roadmap Planning and Compliance; Product and Service Expansion; Product Maturity Gaps,external,high,3.2,mixed-positive
01KQ54917E3931712516916D,11,Compliance and Governance,All,11; 18; 20,Compliance and Governance; Product and Service Expansion; Customer Onboarding and Support,external,high,4.8,very-positive
01KQ560FF1570C5E7F71D752,14,Data Protection and Recovery,All,11; 14; 17; 20; 23,Compliance and Governance; Data Protection and Recovery; Upselling and Cross-Selling Strategy; Customer Onboarding and Support; Infrastructure Architecture Challenges,external,high,4.8,very-positive
01KQ56786DD1E8A1BF174FDD,18,Product and Service Expansion,All,10; 11; 18,HIPAA Compliance and Reporting; Compliance and Governance; Product and Service Expansion,support,high,4.8,very-positive
01KQ56AA6B60801ABC01AB1C,13,Billing and Pricing Issues,Sales | Customer Support,9; 11; 13; 18; 19,Outage Prevention and Recovery; Compliance and Governance; Billing and Pricing Issues; Product and Service Expansion; Security and Alerting,support,high,2.4,mixed-negative
01KQ56D878454E5783DC6D94,24,System Reliability and Support,All,3; 6; 8; 9; 14; 24,Cloud and Integration Configuration; Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Data Protection and Recovery; System Reliability and Support,support,high,2.4,mixed-negative
01KQ5A966832A146DA4B7D41,6,Customer Renewal and Retention,Sales | Customer Success,5; 6; 7; 9; 15,Multi-Factor Authentication Management; Customer Renewal and Retention; Escalation Process; Outage Prevention and Recovery; Identity and Access Governance,support,high,2.4,mixed-negative
01KQ5AFAE8264DDC0ED2AE7F,15,Identity and Access Governance,All,3; 5; 11; 15,Cloud and Integration Configuration; Multi-Factor Authentication Management; Compliance and Governance; Identity and Access Governance,external,high,4.8,very-positive
01KQ5BB8521F99E55470206E,21,IT Operations and Deployment,Engineering,1; 18; 19; 21; 23; 25,Quality Assurance Review Process; Product and Service Expansion; Security and Alerting; IT Operations and Deployment; Infrastructure Architecture Challenges; Platform Reliability,internal,high,4.1,positive
01KQ5D47170D4828E89EDE37,8,Incident Response and Review,All,8; 9; 14; 19; 23,Incident Response and Review; Outage Prevention and Recovery; Data Protection and Recovery; Security and Alerting; Infrastructure Architecture Challenges,support,high,3.4,mixed-positive
01KQ5EC1665DCFD7A6B62A59,3,Cloud and Integration Configuration,Engineering,3; 9; 15; 18; 24; 25,Cloud and Integration Configuration; Outage Prevention and Recovery; Identity and Access Governance; Product and Service Expansion; System Reliability and Support; Platform Reliability,support,high,2.2,mixed-negative
01KQ5F364545B542671FF9CE,21,IT Operations and Deployment,Engineering,3; 11; 15; 18; 20; 21,Cloud and Integration Configuration; Compliance and Governance; Identity and Access Governance; Product and Service Expansion; Customer Onboarding and Support; IT Operations and Deployment,support,high,3.7,mixed-positive
01KQ65D43540846FA994B6C4,15,Identity and Access Governance,All,11; 15; 16; 22,Compliance and Governance; Identity and Access Governance; Roadmap Planning and Compliance; Product Maturity Gaps,external,high,3.7,mixed-positive
01KQ68FB3E9E60C4477CDAB4,21,IT Operations and Deployment,Engineering,1; 11; 18; 19; 21,Quality Assurance Review Process; Compliance and Governance; Product and Service Expansion; Security and Alerting; IT Operations and Deployment,internal,high,4.7,very-positive
01KQ6A5CEAAFFBE3B0099E75,24,System Reliability and Support,All,3; 6; 15; 18; 24,Cloud and Integration Configuration; Customer Renewal and Retention; Identity and Access Governance; Product and Service Expansion; System Reliability and Support,support,high,2.4,mixed-negative
01KQ6CAA850EAFDC48B52846,9,Outage Prevention and Recovery,Engineering,0; 2; 9; 11; 14; 19,Service Level Agreement Management; Competitive Strategy; Outage Prevention and Recovery; Compliance and Governance; Data Protection and Recovery; Security and Alerting,support,high,2.6,mixed-negative
01KQ764171AC27A3A94DC695,8,Incident Response and Review,All,6; 8; 9; 11; 18; 24,Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Product and Service Expansion; System Reliability and Support,internal,high,2.8,mixed-negative
01KQ773D68723289E4A98889,13,Billing and Pricing Issues,Sales | Customer Support,13; 14; 15; 19,Billing and Pricing Issues; Data Protection and Recovery; Identity and Access Governance; Security and Alerting,support,high,3.7,mixed-positive
01KQ77F2867FC54E13A8C495,20,Customer Onboarding and Support,All,3; 19; 20; 21; 23; 25,Cloud and Integration Configuration; Security and Alerting; Customer Onboarding and Support; IT Operations and Deployment; Infrastructure Architecture Challenges; Platform Reliability,external,high,3.9,mixed-positive
01KQ7B802912366FC0A24D4F,18,Product and Service Expansion,All,8; 11; 16; 18; 25,Incident Response and Review; Compliance and Governance; Roadmap Planning and Compliance; Product and Service Expansion; Platform Reliability,internal,high,3.6,mixed-positive
01KQ7BF0D56037FF89DC89B6,9,Outage Prevention and Recovery,Engineering,6; 8; 9; 11; 19; 25,Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Compliance and Governance; Security and Alerting; Platform Reliability,support,high,1.4,very-negative
01KQ7F58A2E07B857C24624D,2,Competitive Strategy,Sales,2; 3; 11; 13; 16; 22,Competitive Strategy; Cloud and Integration Configuration; Compliance and Governance; Billing and Pricing Issues; Roadmap Planning and Compliance; Product Maturity Gaps,internal,high,3.4,mixed-positive
01KQ7FA71CF70FAFEE4B6251,6,Customer Renewal and Retention,Sales | Customer Success,2; 6; 9; 11; 18,Competitive Strategy; Customer Renewal and Retention; Outage Prevention and Recovery; Compliance and Governance; Product and Service Expansion,external,medium,2.6,mixed-negative
01KQ85D10E82A26A8F754FB8,10,HIPAA Compliance and Reporting,All,4; 10; 11; 15; 16,Healthcare Data Security; HIPAA Compliance and Reporting; Compliance and Governance; Identity and Access Governance; Roadmap Planning and Compliance,external,high,4.1,mixed-positive
01KQ88B8EAEAA819C26CCBE7,9,Outage Prevention and Recovery,Engineering,6; 9; 10; 12; 23; 24,Customer Renewal and Retention; Outage Prevention and Recovery; HIPAA Compliance and Reporting; Audit Compliance Readiness; Infrastructure Architecture Challenges; System Reliability and Support,support,high,2.1,mixed-negative
01KQ8C5A044F54EE1774D53C,8,Incident Response and Review,All,2; 4; 6; 8; 19; 25,Competitive Strategy; Healthcare Data Security; Customer Renewal and Retention; Incident Response and Review; Security and Alerting; Platform Reliability,support,high,2.3,mixed-negative
01KQ8D9A06510DD623EFB1A6,18,Product and Service Expansion,All,3; 8; 11; 16; 18; 19,Cloud and Integration Configuration; Incident Response and Review; Compliance and Governance; Roadmap Planning and Compliance; Product and Service Expansion; Security and Alerting,external,high,3.6,mixed-positive
01KQ92EA85FE4C537400227D,18,Product and Service Expansion,All,3; 11; 18; 20,Cloud and Integration Configuration; Compliance and Governance; Product and Service Expansion; Customer Onboarding and Support,support,high,4.8,very-positive
01KQ94C2B8B9B4668F3D3491,9,Outage Prevention and Recovery,Engineering,0; 9; 11; 14; 19; 25,Service Level Agreement Management; Outage Prevention and Recovery; Compliance and Governance; Data Protection and Recovery; Security and Alerting; Platform Reliability,support,high,2.1,mixed-negative
01KQ9772B2348F500FB09D1E,5,Multi-Factor Authentication Management,Engineering,3; 5; 7; 15; 20; 25,Cloud and Integration Configuration; Multi-Factor Authentication Management; Escalation Process; Identity and Access Governance; Customer Onboarding and Support; Platform Reliability,support,high,2.2,mixed-negative
01KQ9A6BE09D73A9BB5798C7,22,Product Maturity Gaps,All,10; 11; 12; 16; 18; 22,HIPAA Compliance and Reporting; Compliance and Governance; Audit Compliance Readiness; Roadmap Planning and Compliance; Product and Service Expansion; Product Maturity Gaps,support,high,3.5,mixed-positive
01KQ9BB82FD97C9607D57E90,14,Data Protection and Recovery,All,3; 11; 14; 20; 23,Cloud and Integration Configuration; Compliance and Governance; Data Protection and Recovery; Customer Onboarding and Support; Infrastructure Architecture Challenges,external,high,4.9,very-positive
01KQ9BCA1794C9472726FFAD,18,Product and Service Expansion,All,6; 11; 16; 17; 18; 19,Customer Renewal and Retention; Compliance and Governance; Roadmap Planning and Compliance; Upselling and Cross-Selling Strategy; Product and Service Expansion; Security and Alerting,internal,high,4.7,very-positive
01KQA0F0BE68E74D66EB4171,2,Competitive Strategy,Sales,2; 8; 11; 17; 18; 25,Competitive Strategy; Incident Response and Review; Compliance and Governance; Upselling and Cross-Selling Strategy; Product and Service Expansion; Platform Reliability,internal,high,3.6,mixed-positive
01KQA1AFDC1306A000B0C7D9,14,Data Protection and Recovery,All,4; 10; 14; 20,Healthcare Data Security; HIPAA Compliance and Reporting; Data Protection and Recovery; Customer Onboarding and Support,external,high,4.7,very-positive
01KQA502E222E2A60330237B,1,Quality Assurance Review Process,All,1; 6; 11; 13; 14; 18,Quality Assurance Review Process; Customer Renewal and Retention; Compliance and Governance; Billing and Pricing Issues; Data Protection and Recovery; Product and Service Expansion,external,high,4.7,very-positive
01KQA7DFCE1285F52192B34B,14,Data Protection and Recovery,All,8; 14; 18; 20; 24,Incident Response and Review; Data Protection and Recovery; Product and Service Expansion; Customer Onboarding and Support; System Reliability and Support,support,high,2.4,mixed-negative
01KQAC572C34475A8791F2C3,21,IT Operations and Deployment,Engineering,14; 18; 21; 24,Data Protection and Recovery; Product and Service Expansion; IT Operations and Deployment; System Reliability and Support,internal,high,4.4,positive
01KQADC32D89E2B76B698E84,3,Cloud and Integration Configuration,Engineering,3; 8; 15; 18; 21,Cloud and Integration Configuration; Incident Response and Review; Identity and Access Governance; Product and Service Expansion; IT Operations and Deployment,support,high,2.3,mixed-negative
01KQADF3D76E82BF8BA19AF2,18,Product and Service Expansion,All,1; 6; 16; 17; 18; 24,Quality Assurance Review Process; Customer Renewal and Retention; Roadmap Planning and Compliance; Upselling and Cross-Selling Strategy; Product and Service Expansion; System Reliability and Support,internal,high,3.5,mixed-positive
01KQAEA50436D047BC39CFC7,6,Customer Renewal and Retention,Sales | Customer Success,6; 13; 14; 16; 19; 24,Customer Renewal and Retention; Billing and Pricing Issues; Data Protection and Recovery; Roadmap Planning and Compliance; Security and Alerting; System Reliability and Support,external,high,3.8,mixed-positive
01KQAFB8DBF6E1E2FDEF0B75,11,Compliance and Governance,All,11; 12; 15; 20,Compliance and Governance; Audit Compliance Readiness; Identity and Access Governance; Customer Onboarding and Support,external,high,4.8,very-positive
01KQB3B16F255B65F39597D0,11,Compliance and Governance,All,1; 11; 14; 16; 18,Quality Assurance Review Process; Compliance and Governance; Data Protection and Recovery; Roadmap Planning and Compliance; Product and Service Expansion,internal,high,4.4,positive
01KQB632F1ADC378C42F2C03,18,Product and Service Expansion,All,11; 13; 18; 20; 24,Compliance and Governance; Billing and Pricing Issues; Product and Service Expansion; Customer Onboarding and Support; System Reliability and Support,support,high,3.9,mixed-positive
01KQB95605C6F873C6036285,11,Compliance and Governance,All,9; 11; 12; 18,Outage Prevention and Recovery; Compliance and Governance; Audit Compliance Readiness; Product and Service Expansion,external,high,4.1,mixed-positive
01KQBB7C4D4789DB2F3DA9C2,24,System Reliability and Support,All,3; 11; 18; 22; 24,Cloud and Integration Configuration; Compliance and Governance; Product and Service Expansion; Product Maturity Gaps; System Reliability and Support,support,high,2.4,mixed-negative
01KQBBF753B44DE677670E6D,19,Security and Alerting,All,9; 11; 19; 22; 23; 24,Outage Prevention and Recovery; Compliance and Governance; Security and Alerting; Product Maturity Gaps; Infrastructure Architecture Challenges; System Reliability and Support,support,high,2.4,mixed-negative
01KQC1267BEB344076DD7656,8,Incident Response and Review,All,2; 3; 6; 8; 11; 25,Competitive Strategy; Cloud and Integration Configuration; Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Platform Reliability,support,high,2.8,mixed-negative
01KQC166F678CBA584AAFF8B,24,System Reliability and Support,All,6; 11; 14; 15; 24,Customer Renewal and Retention; Compliance and Governance; Data Protection and Recovery; Identity and Access Governance; System Reliability and Support,support,high,2.4,mixed-negative
01KQC3A2EBC501837E973B16,15,Identity and Access Governance,All,3; 5; 15; 18; 20,Cloud and Integration Configuration; Multi-Factor Authentication Management; Identity and Access Governance; Product and Service Expansion; Customer Onboarding and Support,external,high,4.8,very-positive
01KQCA6EA8B603EBB6C9FE34,18,Product and Service Expansion,All,3; 5; 6; 15; 18,Cloud and Integration Configuration; Multi-Factor Authentication Management; Customer Renewal and Retention; Identity and Access Governance; Product and Service Expansion,external,medium,3.4,mixed-positive
01KQCF9872BF130D33B1B5EC,18,Product and Service Expansion,All,1; 8; 10; 11; 18,Quality Assurance Review Process; Incident Response and Review; HIPAA Compliance and Reporting; Compliance and Governance; Product and Service Expansion,internal,high,4.8,very-positive
01KQD1270E98A7DFC55ADCF8,14,Data Protection and Recovery,All,8; 14; 17; 23; 24,Incident Response and Review; Data Protection and Recovery; Upselling and Cross-Selling Strategy; Infrastructure Architecture Challenges; System Reliability and Support,support,high,2.2,mixed-negative
01KQD199788883B6F18C81E8,6,Customer Renewal and Retention,Sales | Customer Success,6; 8; 11; 15; 16; 19,Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Identity and Access Governance; Roadmap Planning and Compliance; Security and Alerting,external,high,4.3,positive
01KQD4D9DEBA2D55AC2AA9F5,6,Customer Renewal and Retention,Sales | Customer Success,4; 6; 8; 11; 17; 18,Healthcare Data Security; Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Upselling and Cross-Selling Strategy; Product and Service Expansion,external,high,4.4,positive
01KQDD5172176D02DB51360A,9,Outage Prevention and Recovery,Engineering,4; 7; 8; 9; 10; 14,Healthcare Data Security; Escalation Process; Incident Response and Review; Outage Prevention and Recovery; HIPAA Compliance and Reporting; Data Protection and Recovery,support,high,2.4,mixed-negative
01KQE110900B8A65D80AE694,25,Platform Reliability,All,4; 8; 25,Healthcare Data Security; Incident Response and Review; Platform Reliability,internal,high,2.4,mixed-negative
01KQEDB92E33CF9945A7F71B,9,Outage Prevention and Recovery,Engineering,6; 8; 9; 19; 20; 25,Customer Renewal and Retention; Incident Response and Review; Outage Prevention and Recovery; Security and Alerting; Customer Onboarding and Support; Platform Reliability,support,high,1.8,negative
01KQEDE682B4A8D67C657CF1,4,Healthcare Data Security,All,3; 4; 6; 8; 15; 19,Cloud and Integration Configuration; Healthcare Data Security; Customer Renewal and Retention; Incident Response and Review; Identity and Access Governance; Security and Alerting,support,high,2.4,mixed-negative
01KQF9600A904ADE8605B3F0,21,IT Operations and Deployment,Engineering,8; 9; 20; 21; 22; 25,Incident Response and Review; Outage Prevention and Recovery; Customer Onboarding and Support; IT Operations and Deployment; Product Maturity Gaps; Platform Reliability,internal,high,4.8,very-positive
01KQFEEFFF8E80B0DFD10880,12,Audit Compliance Readiness,All,6; 8; 11; 12; 18,Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Audit Compliance Readiness; Product and Service Expansion,internal,high,4.7,very-positive
01KQFFC0F889AE8CFEE7A00D,18,Product and Service Expansion,All,6; 8; 11; 15; 18,Customer Renewal and Retention; Incident Response and Review; Compliance and Governance; Identity and Access Governance; Product and Service Expansion,external,high,4.7,very-positive
